group_type,group_name,group_id,country_id
continent,North America,930,28
continent,North America,930,44
continent,North America,930,52
continent,North America,930,60
continent,North America,930,84
continent,North America,930,92
continent,North America,930,124
continent,North America,930,136
continent,North America,930,188
continent,North America,930,192
continent,North America,930,212
continent,North America,930,214
continent,North America,930,222
continent,North America,930,238
continent,North America,930,304
continent,North America,930,308
continent,North America,930,312
continent,North America,930,320
continent,North America,930,332
continent,North America,930,340
continent,North America,930,388
continent,North America,930,474
continent,North America,930,484
continent,North America,930,500
continent,North America,930,530
continent,North America,930,531
continent,North America,930,533
continent,North America,930,534
continent,North America,930,558
continent,North America,930,591
continent,North America,930,592
continent,North America,930,652
continent,North America,930,659
continent,North America,930,660
continent,North America,930,662
continent,North America,930,666
continent,North America,930,670
continent,North America,930,780
continent,North America,930,796
continent,North America,930,840
continent,North America,930,850
continent,Asia,931,4
continent,Asia,931,31
continent,Asia,931,48
continent,Asia,931,50
continent,Asia,931,51
continent,Asia,931,64
continent,Asia,931,96
continent,Asia,931,104
continent,Asia,931,116
continent,Asia,931,144
continent,Asia,931,156
continent,Asia,931,158
continent,Asia,931,196
continent,Asia,931,268
continent,Asia,931,275
continent,Asia,931,344
continent,Asia,931,356
continent,Asia,931,360
continent,Asia,931,364
continent,Asia,931,368
continent,Asia,931,376
continent,Asia,931,392
continent,Asia,931,398
continent,Asia,931,400
continent,Asia,931,408
continent,Asia,931,410
continent,Asia,931,414
continent,Asia,931,417
continent,Asia,931,418
continent,Asia,931,422
continent,Asia,931,446
continent,Asia,931,458
continent,Asia,931,462
continent,Asia,931,496
continent,Asia,931,512
continent,Asia,931,524
continent,Asia,931,586
continent,Asia,931,608
continent,Asia,931,626
continent,Asia,931,634
continent,Asia,931,682
continent,Asia,931,702
continent,Asia,931,704
continent,Asia,931,720
continent,Asia,931,760
continent,Asia,931,762
continent,Asia,931,764
continent,Asia,931,784
continent,Asia,931,792
continent,Asia,931,795
continent,Asia,931,860
continent,Asia,931,868
continent,Asia,931,887
continent,Africa,932,12
continent,Africa,932,24
continent,Africa,932,72
continent,Africa,932,108
continent,Africa,932,120
continent,Africa,932,132
continent,Africa,932,140
continent,Africa,932,148
continent,Africa,932,174
continent,Africa,932,175
continent,Africa,932,178
continent,Africa,932,180
continent,Africa,932,204
continent,Africa,932,226
continent,Africa,932,231
continent,Africa,932,232
continent,Africa,932,262
continent,Africa,932,266
continent,Africa,932,270
continent,Africa,932,288
continent,Africa,932,324
continent,Africa,932,384
continent,Africa,932,404
continent,Africa,932,426
continent,Africa,932,430
continent,Africa,932,434
continent,Africa,932,450
continent,Africa,932,454
continent,Africa,932,466
continent,Africa,932,478
continent,Africa,932,480
continent,Africa,932,504
continent,Africa,932,508
continent,Africa,932,516
continent,Africa,932,562
continent,Africa,932,566
continent,Africa,932,624
continent,Africa,932,638
continent,Africa,932,646
continent,Africa,932,654
continent,Africa,932,678
continent,Africa,932,686
continent,Africa,932,690
continent,Africa,932,694
continent,Africa,932,706
continent,Africa,932,710
continent,Africa,932,716
continent,Africa,932,728
continent,Africa,932,729
continent,Africa,932,732
continent,Africa,932,748
continent,Africa,932,768
continent,Africa,932,788
continent,Africa,932,800
continent,Africa,932,818
continent,Africa,932,834
continent,Africa,932,854
continent,Africa,932,894
continent,Europe,933,8
continent,Europe,933,20
continent,Europe,933,40
continent,Europe,933,56
continent,Europe,933,70
continent,Europe,933,100
continent,Europe,933,112
continent,Europe,933,191
continent,Europe,933,200
continent,Europe,933,203
continent,Europe,933,208
continent,Europe,933,233
continent,Europe,933,234
continent,Europe,933,246
continent,Europe,933,250
continent,Europe,933,276
continent,Europe,933,278
continent,Europe,933,292
continent,Europe,933,300
continent,Europe,933,336
continent,Europe,933,348
continent,Europe,933,352
continent,Europe,933,372
continent,Europe,933,380
continent,Europe,933,428
continent,Europe,933,440
continent,Europe,933,442
continent,Europe,933,470
continent,Europe,933,498
continent,Europe,933,499
continent,Europe,933,528
continent,Europe,933,578
continent,Europe,933,616
continent,Europe,933,620
continent,Europe,933,642
continent,Europe,933,643
continent,Europe,933,674
continent,Europe,933,688
continent,Europe,933,703
continent,Europe,933,705
continent,Europe,933,724
continent,Europe,933,752
continent,Europe,933,756
continent,Europe,933,804
continent,Europe,933,807
continent,Europe,933,810
continent,Europe,933,826
continent,Europe,933,890
continent,Europe,933,891
continent,South America,934,32
continent,South America,934,68
continent,South America,934,76
continent,South America,934,152
continent,South America,934,170
continent,South America,934,218
continent,South America,934,254
continent,South America,934,328
continent,South America,934,535
continent,South America,934,600
continent,South America,934,604
continent,South America,934,740
continent,South America,934,858
continent,South America,934,862
continent,Other,935,10
continent,Other,935,16
continent,Other,935,74
continent,Other,935,86
continent,Other,935,239
continent,Other,935,260
continent,Other,935,334
continent,Other,935,581
continent,Other,935,914
continent,Other,935,999
continent,Oceania,936,36
continent,Oceania,936,90
continent,Oceania,936,162
continent,Oceania,936,166
continent,Oceania,936,184
continent,Oceania,936,242
continent,Oceania,936,258
continent,Oceania,936,296
continent,Oceania,936,316
continent,Oceania,936,520
continent,Oceania,936,540
continent,Oceania,936,548
continent,Oceania,936,554
continent,Oceania,936,570
continent,Oceania,936,574
continent,Oceania,936,580
continent,Oceania,936,582
continent,Oceania,936,583
continent,Oceania,936,584
continent,Oceania,936,585
continent,Oceania,936,598
continent,Oceania,936,612
continent,Oceania,936,772
continent,Oceania,936,776
continent,Oceania,936,798
continent,Oceania,936,876
continent,Oceania,936,882
region,Africa,2,12
region,Africa,2,24
region,Africa,2,72
region,Africa,2,86
region,Africa,2,108
region,Africa,2,120
region,Africa,2,132
region,Africa,2,140
region,Africa,2,148
region,Africa,2,174
region,Africa,2,175
region,Africa,2,178
region,Africa,2,180
region,Africa,2,204
region,Africa,2,226
region,Africa,2,231
region,Africa,2,232
region,Africa,2,262
region,Africa,2,266
region,Africa,2,270
region,Africa,2,288
region,Africa,2,324
region,Africa,2,384
region,Africa,2,404
region,Africa,2,426
region,Africa,2,430
region,Africa,2,434
region,Africa,2,450
region,Africa,2,454
region,Africa,2,466
region,Africa,2,478
region,Africa,2,480
region,Africa,2,504
region,Africa,2,508
region,Africa,2,516
region,Africa,2,562
region,Africa,2,566
region,Africa,2,624
region,Africa,2,638
region,Africa,2,646
region,Africa,2,654
region,Africa,2,678
region,Africa,2,686
region,Africa,2,690
region,Africa,2,694
region,Africa,2,706
region,Africa,2,710
region,Africa,2,716
region,Africa,2,728
region,Africa,2,729
region,Africa,2,732
region,Africa,2,748
region,Africa,2,768
region,Africa,2,788
region,Africa,2,800
region,Africa,2,818
region,Africa,2,834
region,Africa,2,854
region,Africa,2,894
region,Oceania,9,16
region,Oceania,9,36
region,Oceania,9,90
region,Oceania,9,162
region,Oceania,9,166
region,Oceania,9,184
region,Oceania,9,242
region,Oceania,9,258
region,Oceania,9,296
region,Oceania,9,316
region,Oceania,9,334
region,Oceania,9,520
region,Oceania,9,540
region,Oceania,9,548
region,Oceania,9,554
region,Oceania,9,570
region,Oceania,9,574
region,Oceania,9,580
region,Oceania,9,581
region,Oceania,9,583
region,Oceania,9,584
region,Oceania,9,585
region,Oceania,9,598
region,Oceania,9,612
region,Oceania,9,772
region,Oceania,9,776
region,Oceania,9,798
region,Oceania,9,876
region,Oceania,9,882
region,Americas,19,28
region,Americas,19,32
region,Americas,19,44
region,Americas,19,52
region,Americas,19,60
region,Americas,19,68
region,Americas,19,74
region,Americas,19,76
region,Americas,19,84
region,Americas,19,92
region,Americas,19,124
region,Americas,19,136
region,Americas,19,152
region,Americas,19,170
region,Americas,19,188
region,Americas,19,192
region,Americas,19,212
region,Americas,19,214
region,Americas,19,218
region,Americas,19,222
region,Americas,19,238
region,Americas,19,239
region,Americas,19,254
region,Americas,19,304
region,Americas,19,308
region,Americas,19,312
region,Americas,19,320
region,Americas,19,328
region,Americas,19,332
region,Americas,19,340
region,Americas,19,388
region,Americas,19,474
region,Americas,19,484
region,Americas,19,500
region,Americas,19,530
region,Americas,19,531
region,Americas,19,533
region,Americas,19,534
region,Americas,19,535
