product_id,code,name_short_en,product_level,top_parent_id,product_id_hierarchy
694,0602,Other live plants,4,2,2.105.694
695,0603,Cut flowers,4,2,2.105.695
696,0604,Other parts of plants,4,2,2.105.696
697,0701,Potatoes,4,2,2.106.697
698,0702,Tomatoes,4,2,2.106.698
699,0703,"Onions, shallots, garlic",4,2,2.106.699
700,0704,"Cabbages, cauliflowers, broccoli",4,2,2.106.700
701,0705,Lettuce,4,2,2.106.701
702,0706,Carrots & turnips,4,2,2.106.702
703,0707,Cucumbers,4,2,2.106.703
704,0708,Legumes,4,2,2.106.704
705,0709,Other vegetables,4,2,2.106.705
706,0710,Frozen vegetables,4,2,2.106.706
707,0711,"Vegetables, provisionally preserved",4,2,2.106.707
708,0712,"Vegetables, dried",4,2,2.106.708
709,0713,"Legumes, dried",4,2,2.106.709
710,0714,Tubers,4,2,2.106.710
711,0801,Cashew nuts & coconuts,4,2,2.107.711
712,0802,Other nuts,4,2,2.107.712
713,0803,Bananas and plantains,4,2,2.107.713
714,0804,"Avocados, pineapples, mangos, etc.",4,2,2.107.714
715,0805,Citrus fruit,4,2,2.107.715
716,0806,Grapes,4,2,2.107.716
717,0807,Melons and papayas,4,2,2.107.717
718,0808,Apples & pears,4,2,2.107.718
719,0809,Peaches & cherries,4,2,2.107.719
720,0810,Other fresh fruit,4,2,2.107.720
721,0811,"Fruits and nuts, frozen",4,2,2.107.721
722,0812,"Fruits and nuts, provisionally preserved",4,2,2.107.722
723,0813,"Fruits, dried",4,2,2.107.723
724,0814,Peel of citrus fruit or melons,4,2,2.107.724
725,0901,Coffee,4,2,2.108.725
726,0902,Tea,4,2,2.108.726
727,0903,Mate,4,2,2.108.727
728,0904,Pepper,4,2,2.108.728
729,0905,Vanilla,4,2,2.108.729
730,0906,Cinnamon,4,2,2.108.730
731,0907,Cloves,4,2,2.108.731
732,0908,Nutmeg,4,2,2.108.732
733,0909,"Anise, fennel, etc.",4,2,2.108.733
734,0910,Spices,4,2,2.108.734
735,1001,Wheat and meslin,4,2,2.109.735
736,1002,Rye,4,2,2.109.736
737,1003,Barley,4,2,2.109.737
738,1004,Oats,4,2,2.109.738
739,1005,Corn,4,2,2.109.739
740,1006,Rice,4,2,2.109.740
741,1007,Grain sorghum,4,2,2.109.741
742,1008,Other cereals,4,2,2.109.742
743,1101,Wheat or meslin flour,4,2,2.110.743
744,1102,Cereal flours,4,2,2.110.744
745,1103,Cereal meals,4,2,2.110.745
746,1104,Worked cereal grains,4,2,2.110.746
747,1105,Potato flour,4,2,2.110.747
748,1106,Flour of dried legumes,4,2,2.110.748
749,1107,Malt,4,2,2.110.749
750,1108,Starches,4,2,2.110.750
751,1109,Wheat gluten,4,2,2.110.751
752,1201,Soya beans,4,2,2.111.752
753,1202,Peanuts,4,2,2.111.753
754,1203,Copra,4,2,2.111.754
755,1204,Linseed,4,2,2.111.755
756,1205,Rape or colza seeds,4,2,2.111.756
757,1206,Sunflower seeds,4,2,2.111.757
758,1207,Other oil seeds,4,2,2.111.758
759,1208,Flours of oil seeds,4,2,2.111.759
760,1209,Seeds used for sowing,4,2,2.111.760
761,1210,Hop cones,4,2,2.111.761
762,1211,"Plants used in perfumery, pharmacy or insecticide",4,2,2.111.762
763,1212,Seaweeds & edible vegetable products,4,2,2.111.763
764,1213,Cereal straw and husks,4,2,2.111.764
765,1214,Forage products,4,2,2.111.765
766,1301,Lac,4,2,2.112.766
767,1302,Vegetable saps and extracts,4,2,2.112.767
768,1401,Vegetable materials used for plaiting,4,2,2.113.768
769,1404,Vegetable products n.e.c.,4,2,2.113.769
770,1501,"Pig and poultry fat, rendered",4,2,2.114.770
771,1502,"Bovine, sheep and goat fats",4,2,2.114.771
772,1503,"Lard oil, tallow oil etc.",4,2,2.114.772
773,1504,Fish oils,4,2,2.114.773
774,1505,Wool grease,4,2,2.114.774
775,1506,Other animal fats and oils,4,2,2.114.775
776,1507,Soybean oil,4,2,2.114.776
777,1508,Peanut oil,4,2,2.114.777
778,1509,Olive oil,4,2,2.114.778
779,1510,"Olive oil, blended",4,2,2.114.779
780,1511,Palm oil,4,2,2.114.780
781,1512,Sunflower seed oil,4,2,2.114.781
782,1513,Coconut & palm kernel oil,4,2,2.114.782
