product_id,code,name_short_en,product_level,top_parent_id,product_id_hierarchy
680,0371,"Fish, prepared or preserved, nes",4,1,1.103.680
681,0372,"Crustaceans and molluscs, prepared or prepared, nes",4,1,1.103.681
682,0411,"Durum wheat, unmilled",4,1,1.104.682
683,0412,"Other wheat and meslin, unmilled",4,1,1.104.683
684,0421,"Rice in the husk or husked, but not farther prepared",4,1,1.104.684
685,0422,"Rice, semi-milled or wholly milled",4,1,1.104.685
686,0430,"Barley, unmilled",4,1,1.104.686
687,0440,"Maize, unmilled",4,1,1.104.687
688,0451,"Rye, unmilled",4,1,1.104.688
689,0452,"Oats, unmilled",4,1,1.104.689
690,0459,"Buckwheat, millet, etc, and other cereals, unmilled, nes",4,1,1.104.690
691,0460,Meal and flour of wheat and flour of meslin,4,1,1.104.691
692,0470,Other cereal meals and flour,4,1,1.104.692
693,0481,"Cereal grains, worked or prepared, not elsewhere specified",4,1,1.104.693
694,0482,"Malt, roasted or not, including flour",4,1,1.104.694
695,0483,"Macaroni, spaghetti and similar products",4,1,1.104.695
696,0484,Bakery products,4,1,1.104.696
697,0488,Malt extract; cereals preparations with less 50% of cocoa,4,1,1.104.697
698,0541,"Potatoes, fresh or chilled, excluding sweet potatoes",4,1,1.105.698
699,0542,"Beans, peas, other leguminous vegetables, dried, shelled",4,1,1.105.699
700,0544,"Tomatoes, fresh or chilled",4,1,1.105.700
701,0545,Other fresh or chilled vegetables,4,1,1.105.701
702,0546,"Vegetables, frozen or in temporary preservative",4,1,1.105.702
703,0548,"Vegetable products roots and tubers, nes, fresh, dried",4,1,1.105.703
704,0561,"Vegetables (excluding leguminous), dried, evaporated, etc",4,1,1.105.704
705,0564,"Flour, meals and flakes of potatoes, fruit and vegetables, nes",4,1,1.105.705
706,0565,"Vegetables, prepared or preserved, nes",4,1,1.105.706
707,0571,"Oranges, mandarins, etc, fresh or dried",4,1,1.105.707
708,0572,"Other citrus fruits, fresh or dried",4,1,1.105.708
709,0573,"Banana, plantain, fresh or dried",4,1,1.105.709
710,0574,"Apples, fresh",4,1,1.105.710
711,0575,"Grapes, fresh or dried",4,1,1.105.711
712,0576,"Figs, fresh or dried",4,1,1.105.712
713,0577,"Nuts edible, fresh or dried",4,1,1.105.713
714,0579,"Fruit, fresh or dried, nes",4,1,1.105.714
715,0582,"Fruit, fruit-peel and parts of plants, preserved by sugar",4,1,1.105.715
716,0583,"Jams, jellies, marmalades, etc, as cooked preparations",4,1,1.105.716
717,0585,Fruit or vegetable juices,4,1,1.105.717
718,0586,"Fruit, temporarily preserved",4,1,1.105.718
719,0589,"Fruit prepared or preserved, nes",4,1,1.105.719
720,0611,"Sugars, beet and cane, raw, solid",4,1,1.106.720
721,0612,Refined sugar etc,4,1,1.106.721
722,0615,Molasses,4,1,1.106.722
723,0616,Natural honey,4,1,1.106.723
724,0619,Sugars and syrups nes; artificial honey; caramel,4,1,1.106.724
725,0620,"Sugar confectionery and preparations, non-chocolate",4,1,1.106.725
726,0711,"Coffee green, roasted; coffee substitutes containing coffee",4,1,1.107.726
727,0712,"Coffee extracts, essences or concentrates",4,1,1.107.727
728,0721,"Cocoa beans, raw, roasted",4,1,1.107.728
729,0722,"Cocoa powder, unsweetened",4,1,1.107.729
730,0723,Cocoa butter and paste,4,1,1.107.730
731,0730,"Chocolate and other preparations containing cocoa, nes",4,1,1.107.731
732,0741,Tea,4,1,1.107.732
733,0742,Mate,4,1,1.107.733
734,0751,"Pepper of ""piper""; pimento of ""capsicum or pimenta""",4,1,1.107.734
735,0752,"Spices, except pepper and pimento",4,1,1.107.735
736,0811,"Hay and fodder, green or dry",4,1,1.108.736
737,0812,"Bran, sharps and other residues derives of cereals",4,1,1.108.737
738,0813,Oilcake and other residues (except dregs),4,1,1.108.738
739,0814,"Flours and meals, of meat, fish,etc, unfit for human; greaves",4,1,1.108.739
740,0819,"Food waste and prepared animal feed, nes",4,1,1.108.740
741,0913,"Lard, pig and poultry fat, rendered or solvent-extracted",4,1,1.109.741
742,0914,"Margarine, imitation lard and other prepared edible fats, nes",4,1,1.109.742
743,0980,"Edible products and preparations, nes",4,1,1.109.743
744,1110,"Non-alcoholic beverages, nes",4,2,2.110.744
745,1121,Wine of fresh grapes etc,4,2,2.110.745
746,1122,"Other fermented beverages, nes (cider, perry, mead, etc)",4,2,2.110.746
747,1123,"Beer made from malt (including ale, stout and porter)",4,2,2.110.747
748,1124,"Distilled alcoholic beverages, nes",4,2,2.110.748
749,1211,"Tobacco, not stripped",4,2,2.111.749
750,1212,"Tobacco, wholly or partly stripped",4,2,2.111.750
751,1213,Tobacco refuse,4,2,2.111.751
752,1221,"Cigars, cheroots: cigarillos",4,2,2.111.752
753,1222,Cigarettes,4,2,2.111.753
754,1223,"Tobacco, manufactured; tobacco extract and essences",4,2,2.111.754
755,2111,"Bovine and equine hides, raw, whether or not split",4,3,3.112.755
756,2112,"Calf skins, raw, whether or not split",4,3,3.112.756
757,2114,"Goat and kid skins, raw, whether or not split",4,3,3.112.757
758,2116,"Sheep and lamb skin with the wool on, raw, whether or not split",4,3,3.112.758
759,2117,"Sheep and lamb skin without the wool, raw, whether or not split",4,3,3.112.759
760,2119,"Hides and skins, nes; waste and used leather",4,3,3.112.760
761,2120,"Furskins, raw",4,3,3.112.761
762,2221,"Groundnuts, green",4,3,3.113.762
763,2222,Soya beans,4,3,3.113.763
764,2223,Cotton seeds,4,3,3.113.764
765,2224,Sunflower seeds,4,3,3.113.765
766,2225,Sesame seeds,4,3,3.113.766
767,2226,Rape and colza seeds,4,3,3.113.767
768,2231,Copra,4,3,3.113.768
769,2232,Palm nuts and kernels,4,3,3.113.769
770,2234,Linseed,4,3,3.113.770
771,2235,Castor oil seeds,4,3,3.113.771
772,2238,"Oil seeds and oleaginous fruits, nes",4,3,3.113.772
773,2239,"Flour or meals of oil seeds or oleaginous fruit, non-defatted",4,3,3.113.773
774,2320,Natural rubber latex; natural rubber and gums,4,3,3.114.774
775,2331,"Synthetic rubber, latex; factice derived from oils",4,3,3.114.775
776,2332,"Reclaimed rubber, waste, scrap of unhardened rubber",4,3,3.114.776
777,2440,"Cork, natural, raw and waste",4,3,3.115.777
778,2450,Fuel wood and wood charcoal,4,3,3.115.778
779,2460,Pulpwood (including chips and wood waste),4,3,3.115.779
780,2471,"Sawlogs and veneer logs, of coniferous species",4,3,3.115.780
781,2472,"Sawlogs and veneer logs, of non-coniferous species",4,3,3.115.781
782,2479,"Pitprops, poles, piling, post and other wood in the rough, nes",4,3,3.115.782
783,2481,Railway or tramway sleepers (ties) of wood,4,3,3.115.783
784,2482,"Wood of coniferous species, sawn, planed, tongued, grooved, etc",4,3,3.115.784
785,2483,"Wood, non-coniferous species, sawn, planed, tongued, grooved, etc",4,3,3.115.785
786,2511,"Waste paper and paperboard, etc",4,3,3.116.786
787,2512,Mechanical wood pulp,4,3,3.116.787
788,2516,"Chemical wood pulp, dissolving grades",4,3,3.116.788
789,2517,"Chemical wood pulp, soda or sulphate",4,3,3.116.789
790,2518,"Chemical wood pulp, sulphite",4,3,3.116.790
791,2519,Other cellulosic pulps,4,3,3.116.791
792,2613,Raw silk (not thrown),4,3,3.117.792
793,2614,Silk worm cocoons and silk waste,4,3,3.117.793
794,2631,"Raw cotton, excluding linters, not carded or combed",4,3,3.117.794
795,2632,Cotton linters,4,3,3.117.795
796,2633,"Cotton waste, not carded or combed",4,3,3.117.796
797,2634,"Cotton, carded or combed",4,3,3.117.797
798,2640,"Jute, other textile bast fibres, nes, raw, processed but not spun",4,3,3.117.798
799,2651,"Flax and ramie, flax tow, ramie noils, and waste",4,3,3.117.799
800,2652,"True hemp, raw or processed but not spun, its tow and waste",4,3,3.117.800
801,2654,"Sisal, agave fibres, raw or processed but not spun, and waste",4,3,3.117.801
802,2655,"Manila hemp, raw or processed but not spun, its tow and waste",4,3,3.117.802
803,2659,"Vegetable textile fibres, nes, and waste",4,3,3.117.803
804,2665,"Discontinuous synthetic fibres, not carded or combed",4,3,3.117.804
805,2666,Continuous filament tow for synthetic (discontinuous) fibres,4,3,3.117.805
806,2667,"Discontinuous synthetic fibres, carded or combed",4,3,3.117.806
807,2671,Regenerated fibre suitable for spinning,4,3,3.117.807
808,2672,"Waste of man-made fibres, not carded or combed",4,3,3.117.808
809,2681,Wool greasy or fleece-washed of sheep or lambs,4,3,3.117.809
